id,name,address,rating,review_count,lat,lon,tit1,tit2,zipcodes
__4rPIbNWudQVuoaRs2MuQ,Best Shawarma,"602 W Glenoaks Blvd  Glendale, CA 91202",4.0,349,34.1594551,-118.26717250000002,Middle Eastern, Barbeque,91202
__6hsNl6ibtI6OE5NQQiPw,Taco Bell,"2500 E Pacific Coast Hwy  Long Beach, CA 90804",2.0,89,33.789873,-118.162498,Fast Food, Mexican,90804
__cvgBooF6k2Ra0nA14NGg,Bottlefish,"11677 San Vicente Blvd  Ste 200  Los Angeles, CA 90049",4.5,274,34.05400039999999,-118.4647585,Bars, Seafood,90049
__D9TH9-JRh_7CvWJcPZcQ,Baby Lobster,"1001 Maple Ave  Ste 201  Los Angeles, CA 90015",3.0,49,34.038311,-118.25424960000001,Seafood, Mexican,90015
__GK0tVl6Dygt6BVn2TFrA,China Star Express,"1785 Palo Verde Ave  Long Beach, CA 90815",3.5,209,33.788383,-118.10805490000001,Chinese, Fast Food,90815
__MKN_6UL5XLSF5BQmW1QQ,casa del tarasco,"56th st  Los Angeles, CA 90011",5.0,3,33.99154,-118.26581499999999,Mexican, Food Stands,90011
__s6XiQE1i2vWyzowRxhMQ,Heartfulmade,"2009 W Commonwealth Ave  Unit.  C  Fullerton, CA 92833",4.5,26,33.87101,-117.96637,Korean, ,92833
__sH8x4w9v2sCbZlhpjjQg,Clemen's Restaurant,"3551 S Western Ave  Los Angeles, CA 90018",4.0,13,34.02345,-118.30917,Salvadoran, ,90018
__T8wnlRk82K7PMG3OYL7A,Slasher Pizza,"1466 Glendale Blvd  Los Angeles, CA 90026",5.0,1,34.081632,-118.259825,Pizza, ,90026
__tCbj-ZjPiz7y2hWhsjVg,Sabrosada,"1770 S Harbor Blvd  Ste 128  Anaheim, CA 92825",3.5,446,33.80392316,-117.91468590000002,Mexican, ,92825
__Y-6qeCR98is7ZLEf9RNg,Ramen Izakaya Ajido,"1730 W Sepulveda Blvd  Ste 6  Torrance, CA 90501",4.0,312,33.816301200000005,-118.30953590000001,Ramen, ,90501
_-c9BiP_P6jASrqXtDTftA,Yaya's Burgers No 2,"3202 E Gage Ave  Huntington Park, CA 90255",4.0,101,33.980243,-118.210273,Mexican, ,90255
